
PID    MemAlloc  MemLimit    MemUsed     StackBase/Ptr      Process
 5044   4812800  121783692   51277824    ffc702c0/ffffffff  l2fm_ut
 5045  11141120  395219052   80273408    ffce1070/ffffffff  l2fm
 5050  21073920  734872409   261033984   ffa62c90/ffffffff  igmp
 5053   5795840  128829113   57970688    ffd0f3a0/ffffffff  eth_port_channel
 5056  13135872  145794528   65298432    ffe18f40/ffffffff  eltm
 5059   2334720  121062796   49795072    ffa0bd60/ffffffff  elo_io
 5062   3178496  384179699   51810304    ffb696c0/ffffffff  ecp
 5065   7467008  0           57757696    fff76600/ffffffff  dftm
 5073  28839936  191482368   78422016    ffdf1ee0/ffffffff  bfdc
 5076   3198976  337312307   56311808    ffad0e50/ffffffff  adbm
 5134  12787712  255156800   230141952   ffa263b0/ffffffff  ethpm
 5172   9113600  388333721   111644672   ffb87a20/ffffffff  stp
 5585   5341184  339610163   59682816    ff906750/ffffffff  copp
 5908   2740224  122184691   50741248    ff8e2210/ffffffff  u2
 5909   6340608  773496064   56164352    ffd0c660/ffffffff  spm
 5910   2867200  485113331   188772352   ffa89050/ffffffff  sal
 5911  18501632  610554022   256774144   ffede4c0/ffffffff  mrib
 5912  10092544  499649497   64000000    ff8752a0/ffffffff  mfdm
 5913   3018752  122081062   55160832    ffe60fd0/ffffffff  mcm
 5914   7073792  489208921   226971648   fff39d00/ffffffff  m6rib
 5915   3112960  384873561   53415936    ffc6eee0/ffffffff  l2pt
 5917  23916544  407225843   101900288   fff89940/ffffffff  ufdm
 5920  10731520  525208921   61091840    fffa0630/ffffffff  m2rib
 5922   8728576  441899980   238886912   ffd4ef80/ffffffff  mcastfwd
 6023    802816  419430400   10792960    ffc32a90/ffffffff  login
 6025    192512  0           2953216     ffa83760/ffffffff  gettylogin1
 6029    196608  0           2957312     ff851810/ffffffff  sh
 6037  13033472  0           18337792    ff8bc7f0/ffffffff  libvirtd
 8447   2809856  419430400   101236736   ffdf9850/ffffffff  vsh
 8506   4980736  167892313   56926208    ffa15b00/ffffffff  interface-vlan
 8508  19189760  180266521   73478144    ffabc4e0/ffffffff  lldp
14769    176128  0           1810432     ff830420/ffffffff  getty

All processes: MemAlloc = 1018404864
