Processor Pool Total: 1140161264 Used:  255172304 Free:  884988960
reserve P Pool Total:     102404 Used:         88 Free:     102316
 lsmpi_io Pool Total:    3149400 Used:    3148568 Free:        832

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 117   0          0          0      30072          0          0 CHKPT Test clien
 118   0          0          0      29944          0          0 CHKPT Test clien
 119   0          0          0      29944          0          0 CHKPT Test clien
 120   0          0          0      29944          0          0 CHKPT Test clien
 121   0          0          0      29944          0          0 DHCPC HA
 122   0          0          0      29944          0          0 DHCPD HA
 123   0          0          0      29944          0          0 DHCPv6 Relay HA
 124   0          0          0      29944          0          0 DHCPv6 Server HA
 125   0          0          0      29944          0          0 Network-rf Notif
 126   0          0          0      29944          0          0 ARP HA
 127   0          0          0      17944          0          0 XDR RRP RF waite
 128   0      84152      25608      65888     206354     206354 IOSXE-RP Punt Se
 129   0          0          0      29944          0          0 IOSXE-RP Punt IP
 130   0          0          0      29944          0          0 ACL Log Punt Ser
 131   0          0          0      29944          0          0 ACL deny punt se
 132   0       6864          0      36808          0          0 L2 LISP Punt Pro
 133   0      16680          0      46736          0          0 OFSDN Punject Pr
 134   0          0          0      29944          0          0 IOSXE-RP QFP HA
 135   0          0          0      29944          0          0 IKE HA Mgr
 136   0          0          0      29944          0          0 IPSEC HA Mgr
 137   0          0          0      53944          0          0 Crypto PKI-HA
 138   0        448        448      41944          0          0 SISF HA Process
 139   0      37464      61568      51712          0          0 RF Master Main T
 140   0       3152          0      33096          0          0 RF Master Status
 141   0       4344       1784      57712          0          0 SACRcvWQWrk1
 142   0     269344     224224      84240          2          2 SACRcvWQWrk2
 143   0       4312      19416      57600          0          0 SACRcvWQWrk3
 144   0    5324216    5317840      57480          0          0 SASRcvWQWrk2
 145   0        448        448      29944          0          0 Compute load avg
 146   0       5776      17296      35720          0          0 Per-minute Jobs
 147   0          0          0      41944          0          0 Per-Second Jobs
 148   0          0          0      29944          0          0 Transport Port A
 149   0          0          0      29944          0          0 IOSXE-RP FastPat
 150   0          0          0      29944          0          0 fanrp_l2fib
 151   0       1664        448      31160          4          4 FEC_Link_event_h
 152   0          0          0      53944          0          0 BFD HW EVENT
 153   0          0          0      53944          0          0 BFD IPV6 ADDR CH
 154   0      14328       5680      50592          0          0 EEM ED MAT
 155   0      19592  115888240      52672          0          0 EEM ED ND
 156   0          0          0      29944          0          0 SSLVPN Register
 157   0          0          0      53944          0          0 IPSec background
 158   0          0          0      29944          0          0 fanrp_macsec
 159   0        408          0      30464          0          0 Src Fltr backgro
 160   0        448        448      29944          0          0 BMA Background
 161   0        576        576      29944          0          0 VMI Background
 162   0      48760       2688     150704          0          0 LICENSE AGENT
 163   0          0          0      29944          0          0 vNIC stats Proce
 164   0    8041008      18352    6165528         13         13 CWAN OIR Handler
 165   0          0          0      29944          0          0 TP CUTOVER EVENT
 166   0      42040        152      70488          5          5 ACE event
 167   0       4240       1936      33040         23         23 ACE HAPI
 168   0          0          0      29944          0          0 ACE policy loade
 169   0        448        448      29944          0          0 MIP Mailbox
 170   0          0          0      30056          0          0 RTTYS Process
 171   0          0          0      53944          0          0 Policy bind Proc
 172   0        448        448      53944          0          0 Ethernet LMI
 173   0        448        448      41944          0          0 Ethernet OAM Pro
 174   0       2592        448     104088          0          0 Ethernet CFM
 175   0          0          0      29944          0          0 PPCP RP Stats Ba
 176   0       3152          0      33096          0          0 L2FIB Timer Disp
 177   0          0          0      29944          0          0 IGMP Route Msg H
 178   0          0          0      29944          0          0 IGMP Route Rx Pr
 179   0       3152          0      33216          0          0 MLRIB L2 Msg Thr
 180   0          0          0      29944          0          0 TEMPLATE HA
 181   0          0          0      29944          0          0 DVLAN HA
 182   0          0          0      29944          0          0 RABAPOL HA
 183   0          0          0      29944          0          0 RABAPOL HA IPC f
 184   0       3152          0      33096          0          0 L2RIB Thread
 185   0        448        448      53944          0          0 RG Faults Timer
 186   0          0          0      29944          0          0 RG VP
 187   0        448        448      29944          0          0 RG AR
 188   0        448        448      53944          0          0 RG Protocol Time
 189   0        448        448      53944          0          0 RG Transport Tim
 190   0          0          0      29944          0          0 HDLC HA
 191   0          0          0      41944          0          0 EPM IAL Process
 192   0        448        448     101944          0          0 SNMP DBAL WRAPPE
 193   0          0          0      29944          0          0 SNMP DBAL Cache
 194   0          0          0      29944          0          0 SNMP DBAL Cache
 195   0        448        448      29944          0          0 AAA Server
 196   0          0          0      29944          0          0 AAA ACCT Proc
 197   0      98736          0     128680          0          0 ACCT Periodic Pr
 198   0          0          0      41944          0          0 cdp init process
 199   0       4272       1120      33096          0          0 Call Home Timer
 200   0        496          0      54440          0          0 CEF switching ba
 201   0        408          0      18352          0          0 ADJ NSF process
 202   0        448        448      29944          0          0 AAA Dictionary R
 203   0       3448          0      33392          0          0 FHRP Main thread
 204   0       3344          0      33288          0          0 TRACK Main threa
 205   0       3344          0      33288          0          0 TRACK Client thr
 206   0       3344          0      33288          0          0 VRRP Main thread
 207   0      54360        328      83736          0          0 VRRS Main thread
 208   0          0          0      41944          0          0 HQF TARGET DYNAM
 209   0          0          0      53944          0          0 IEDGE ACCT TIMER
 210   0          0          0      29944          0          0 ISG CMD HANDLER
 211   0        448        448      29944          0          0 IP PORTBUNDLE
 212   0        448        448      53944          0          0 IP Static Sessio
 213   0        448        448      53944          0          0 DVLAN Config Pro
 214   0          0          0      29944          0          0 IP Lite session
 215   0        448        448      29944          0          0 IPAM/ODAP Events
 216   0      98736          0     152680          0          0 IPAM Manager
 217   0        448        448      53944          0          0 IPAM Events
 218   0      10312       3592      60816          0          0 IP ARP Adjacency
 219   0      66064          0      96008          0          0 IP ARP Retry Age
 220   0          0          0      53944        352        352 IP Input
 221   0          0          0      29944          0          0 ICMP event handl
 222   0     808880     332120     452144          0          0 mDNS
 223   0        448        448      29944          0          0 PIM register asy
 224   0          0          0      29944          0          0 IPv6 ping proces
 225   0        568        568      53944          0          0 KRB5 AAA
 226   0          0          0     102200          0          0 WSMA_NOTIFY
 227   0          0          0      29944          0          0 AAA EPD HANDLER
 228   0          0          0      29944          0          0 PM EPD API
 229   0          0          0      53944          0          0 DM Proc
 230   0        448        448      29944          0          0 PPP SIP
 231   0        448        448      29944          0          0 PPP Bind
 232   0        448        448      53944          0          0 PPP IP Route
 233   0     808216     797720      64536          0          0 Exec
 234   0          0          0      29944          0          0 RADIUS Proxy
 235   0          0          0      29944          0          0 RIB LM VALIDATE
 236   0        448        448      53944          0          0 SSM connection m
 237   0          0          0      53944          0          0 SSS Manager
 238   0          0          0      53944          0          0 SSS Policy Manag
 239   0          0          0      29944          0          0 SSS Feature Mana
 240   0          0          0      29944          0          0 SSS Feature Time
 241   0          0          0      53944          0          0 SSS PM SHIM QOS
 242   0          0          0      53944          0          0 LONG TO SHORT NA
 243   0          0          0      29944          0          0 Timer handler fo
 244   0          0          0      29944          0          0 Prepaid response
 245   0          0          0      29944          0          0 Timed Policy act
 246   0          0          0      29944          0          0 AAA response han
 247   0        896        448      30392          0          0 Spanning Tree
 248   0        448        448      29944          0          0 SpanTree Msg
 249   0        448        448      53944          0          0 Tunnel BGP
 250   0          0          0      29944          0          0 VRRS
 251   0          0          0      29944          0          0 X.25 Encaps Mana
 252   0          0          0      29944          0          0 X.25 Encaps Sub-
 253   0     100680          0     130624          0          0 radius radsec cl
 254   0          0          0      29944          0          0 Appnav auto disc
 255   0          0          0     103192          0          0 SEP_webui_wsma_h
 256   0        448        448      30064          0          0 OCE punted Pkts
 257   0          0          0      29944          0          0 O-UNI Client Msg
 258   0          0          0      53944          0          0 LSP Tunnel FRR
 259   0          0          0      53944          0          0 MPLS Auto-Tunnel
 260   0      65632          0     167576          0          0 st_pw_oam
 261   0        448        448      53944          0          0 ATM OAM Input
 262   0        448        448      53944          0          0 ATM OAM TIMER
 263   0        448        448      53944          0          0 SSS Mobility mes
 264   0          0          0      29944          0          0 Spanning Tree St
 265   0          0          0      29944          0          0 CCM
 266   0          0          0      29944          0          0 CCM IPC flow con
 267   0          0          0      29944          0          0 SVM HA
 268   0          0          0      29944          0          0 AC Switch
 269   0       2464        448      55960          0          0 DAPR ER process
 270   0       3832          0      33776          0          0 NVE main thread
 271   0     410648        144      22504          0          0 SBC initializer
 272   0        408          0      30352          0          0 XDR background p
 273   0          0          0      29944          0          0 XDR mcast
 274   0          0          0      29944          0          0 XDR RP Ping Back
 275   0          0          0      53944          0          0 XDR receive
 276   0          0          0      29944          0          0 IPC LC Message H
 277   0          0          0      29944          0          0 XDR RP Test Back
 278   0          0          0      29944          0          0 FRR Background P
 279   0      13752       7480      62736          0          0 CEF background p
 280   0        408          0      54352          0          0 fib_fib_bfd_sb e
 281   0          0          0      41944          0          0 IP IRDP
 282   0      11824          0      41768          0          0 LSD HA Proc
 283   0        408          0      30352          0          0 CEF RP Backgroun
 284   0          0          0      53944          0          0 Routing Topology
 285   0    2190536    2100888     143440          0          0 IP RIB Update
 286   0      65064      47176      66648          0          0 IP Background
 287   0      12520       5120      49344          2          2 IP Connected Rou
 288   0          0          0      29944          0          0 BSO_Query
 289   0  207365072   91629648      57024     143102     143102 LLDP Protocol
 290   0        408          0      42352          0          0 Tunnel FIB
 291   0        448        592      53944          0          0 nbar-graph-sende
 292   0        448        592      53944          0          0 nbar-custom-prot
 293   0        448        592      53944          0          0 nbar-auto-custom
 294   0        448       2304      53944          0          0 nbar-sdavc-sched
 295   0        448        592      53944          0          0 nbar-pp-monitor
 296   0        448        448      29944          0          0 EFP Errd
 297   0        448        448      29944          0          0 Ether EFP Proces
 298   0        448        448      29944          0          0 Ether Infra RP
 299   0          0          0      29944          0          0 CFM HA IPC messa
 300   0          0          0      41944          0          0 Ethernet PM Proc
 301   0        448        448      41944          0          0 Ethernet PM Soft
 302   0          0          0      53944          0          0 Ethernet PM Moni
 303   0          0          0      41944          0          0 Ethernet Datapla
 304   0          0          0      29944          0          0 ELB HA IPC flow
 305   0          0          0      29944          0          0 IP Traceroute
 306   0          0          0      53944      16160      16160 TCP Timer
 307   0          0          0      53944          0          0 TCP Protocols
 308   0          0          0      29944          0          0 Socket Timers
 309   0      21984          0     123336          0          0 HTTP CORE
 310   0          0          0      29944          0          0 IGMPSN L2MCM
 311   0          0          0      29944          0          0 IGMPSN MRD
 312   0          0          0      29944          0          0 IGMPSN
 313   0          0          0      29944          0          0 TCP HA PROC
 314   0          0          0      29944          0          0 BGP HA SSO
 315   0        448        448      53944          0          0 Tunnel
 316   0      92928      42592      87248          0          0 CEF: IPv4 proces
 317   0        408          0      54352          0          0 ADJ background
 318   0        408          0      54352          0          0 Collection proce
 319   0          0          0      29944          0          0 RETRY_REPOPULATE
 320   0        408          0      30352          0          0 XDR FOF process
 321   0        448       2904      53944          0          0 Flow Exporter Ti
 322   0        448        448      53944          0          0 Flow Exporter Pa
 323   0     148864        328     178240          0          0 L2FIB Event Disp
 324   0          0          0      29944          0          0 IGMPQR
 325   0        448        448      41944          0          0 App Route Proces
 326   0          0          0      41944          0          0 IPv6 RIB Cleanup
 327   0          0          0      41944          0          0 IPv6 RIB Event H
 328   0      65576          0     119520          0          0 ATM HA
 329   0          0          0      29944          0          0 ATM HA IPC flow
 330   0       5408       2288      35352          0          0 VPWS Thread
 331   0          0          0      29944          0          0 EVPN HA Bulk Syn
 332   0          0          0      29944          0          0 FR HA
 333   0          0          0      29944          0          0 GLBP HA
 334   0          0          0      29944          0          0 Probe Input
 335   0          0          0      29944          0          0 HSRP HA
 336   0        408          0      54352          0          0 MFIB Master back
 337   0        312        312      29944          1          1 IP NAT Ager
 338   0          0      21488      53944       1530       1530 DHCP Client
 339   0          0          0      29944          0          0 MRIB RP PROCESS
 340   0        672          0      54616          0          0 MRIB RP Proxy
 341   0          0          0      29944          0          0 IPv6 ACL RP Proc
 342   0        448        448      29944          0          0 RBSCP Background
 343   0          0          0      29944          0          0 SNMP Timers
 344   0          0          0      53944          0          0 RG If-Mgr Timer
 345   0        448        448      53944          0          0 RG Media Timer
 346   0          0          0      29944          0          0 VRRP HA
 347   0          0          0      29944          0          0 IOSXE-RP Punt Qo
 348   0        448        448      53944          0          0 MCPRP RG Timer
 349   0        448        448      17944          0          0 L2X Switching Ev
 350   0          0          0      29944          0          0 VTEMPLATE IPC fl
 351   0        448        448     101944          0          0 SR Policy Mgr
 352   0        872        448      30368          0          0 SR Policy HA
 353   0          0          0      29944          0          0 BFD HA
 354   0          0          0      29944          0          0 AAA System Acct
